"Commit","CommitHash","Date","Author","Subject","Area","File","Added","Deleted"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/TaskMgrOverrideIcon.cs","2","2"
"4b21a72","4b21a724a84167f117ab76898260ff1f7b98ecd9","2026-05-18","satyrogle","refactor: Bucket 1 — service locator, phase API, event bus hardening","Scripts/UI","Assets/_Project/Scripts/UI/TaskMgrOverrideIcon.cs.meta","11","0"
"9774c34","9774c3464a5cc5119e2e545fce6d04363aefb346","2026-05-17","satyrogle","UX: FeedbackBudget throttle + clutter killswitch + Reset Onboarding","Scripts/UI","Assets/_Project/Scripts/UI/CardSlamFeedback.cs","1","0"
"9774c34","9774c3464a5cc5119e2e545fce6d04363aefb346","2026-05-17","satyrogle","UX: FeedbackBudget throttle + clutter killswitch + Reset Onboarding","Scripts/UI","Assets/_Project/Scripts/UI/DeskEntropyRenderer.cs","9","2"
"9774c34","9774c3464a5cc5119e2e545fce6d04363aefb346","2026-05-17","satyrogle","UX: FeedbackBudget throttle + clutter killswitch + Reset Onboarding","Scripts/UI","Assets/_Project/Scripts/UI/FeedbackBudget.cs","94","0"
"9774c34","9774c3464a5cc5119e2e545fce6d04363aefb346","2026-05-17","satyrogle","UX: FeedbackBudget throttle + clutter killswitch + Reset Onboarding","Scripts/UI","Assets/_Project/Scripts/UI/MainMenuController.cs","24","5"
"9774c34","9774c3464a5cc5119e2e545fce6d04363aefb346","2026-05-17","satyrogle","UX: FeedbackBudget throttle + clutter killswitch + Reset Onboarding","Scripts/UI","Assets/_Project/Scripts/UI/ShiftFeedbackOverlay.cs","6","0"
"b642cba","b642cba53a10e53c882be33532166634725010c9","2026-05-16","satyrogle","fix: claim counter ticks off-by-one between blocks","Scripts/UI","Assets/_Project/Scripts/UI/PassiveAggressiveUIController.cs","15","4"
"1b7298e","1b7298e072be827c81dc83dab4f457d1d71f0653","2026-05-16","satyrogle","fix: claim-2 deadlock + picker grid overflow","Scripts/Encounter","Assets/_Project/Scripts/Encounter/EncounterManager.cs","21","21"
"1b7298e","1b7298e072be827c81dc83dab4f457d1d71f0653","2026-05-16","satyrogle","fix: claim-2 deadlock + picker grid overflow","Scripts/UI","Assets/_Project/Scripts/UI/ArchetypePickerPanel.cs","2","2"
"1b7298e","1b7298e072be827c81dc83dab4f457d1d71f0653","2026-05-16","satyrogle","fix: claim-2 deadlock + picker grid overflow","Scripts/UI","Assets/_Project/Scripts/UI/VowPickerPanel.cs","2","2"
"e4a6c6c","e4a6c6cd21f717ec9feb40254ba2a0dab6795ee9","2026-05-16","satyrogle","fix: 3 safe-mode compile errors from Sprint 3+4","Scripts/Encounter","Assets/_Project/Scripts/Encounter/EncounterManager.cs","1","1"
"e4a6c6c","e4a6c6cd21f717ec9feb40254ba2a0dab6795ee9","2026-05-16","satyrogle","fix: 3 safe-mode compile errors from Sprint 3+4","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling/ParadoxRecipeDetector.cs","5","1"
"e4a6c6c","e4a6c6cd21f717ec9feb40254ba2a0dab6795ee9","2026-05-16","satyrogle","fix: 3 safe-mode compile errors from Sprint 3+4","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling/RogueSubroutinePixel.cs","5","1"
"4ba930e","4ba930eef063754dea050d465b20948a6f70f49d","2026-05-16","satyrogle","Sprint 4: Crash to Win boss fight + NG+ menu state","Scripts/Editor","Assets/_Project/Scripts/Editor/HighImpactInjector.cs","9","0"
"4ba930e","4ba930eef063754dea050d465b20948a6f70f49d","2026-05-16","satyrogle","Sprint 4: Crash to Win boss fight + NG+ menu state","Scripts/Meta","Assets/_Project/Scripts/Meta/BossFight/TaskMgrOverride.cs","32","0"
"4ba930e","4ba930eef063754dea050d465b20948a6f70f49d","2026-05-16","satyrogle","Sprint 4: Crash to Win boss fight + NG+ menu state","Scripts/UI","Assets/_Project/Scripts/UI/BossFightController.cs","244","0"
"4ba930e","4ba930eef063754dea050d465b20948a6f70f49d","2026-05-16","satyrogle","Sprint 4: Crash to Win boss fight + NG+ menu state","Scripts/UI","Assets/_Project/Scripts/UI/HRPopupSpammer.cs","212","0"
"4ba930e","4ba930eef063754dea050d465b20948a6f70f49d","2026-05-16","satyrogle","Sprint 4: Crash to Win boss fight + NG+ menu state","Scripts/UI","Assets/_Project/Scripts/UI/MainMenuController.cs","19","4"
"4ba930e","4ba930eef063754dea050d465b20948a6f70f49d","2026-05-16","satyrogle","Sprint 4: Crash to Win boss fight + NG+ menu state","Scripts/UI","Assets/_Project/Scripts/UI/RAMOverloadMeter.cs","165","0"
"4ba930e","4ba930eef063754dea050d465b20948a6f70f49d","2026-05-16","satyrogle","Sprint 4: Crash to Win boss fight + NG+ menu state","Scripts/UI","Assets/_Project/Scripts/UI/RunawayLogoutButton.cs","239","0"
"4ba930e","4ba930eef063754dea050d465b20948a6f70f49d","2026-05-16","satyrogle","Sprint 4: Crash to Win boss fight + NG+ menu state","Scripts/UI","Assets/_Project/Scripts/UI/StaplerTool.cs","111","0"
"4ba930e","4ba930eef063754dea050d465b20948a6f70f49d","2026-05-16","satyrogle","Sprint 4: Crash to Win boss fight + NG+ menu state","Scripts/UI","Assets/_Project/Scripts/UI/TaskMgrOverrideIcon.cs","139","0"
"1ea7ef2","1ea7ef20d9e1165956f54f0afab2ba61b5488dd9","2026-05-16","satyrogle","Sprint 3: Rogue Subroutine (hidden hub bounty)","Scripts/Editor","Assets/_Project/Scripts/Editor/HighImpactInjector.cs","10","0"
"1ea7ef2","1ea7ef20d9e1165956f54f0afab2ba61b5488dd9","2026-05-16","satyrogle","Sprint 3: Rogue Subroutine (hidden hub bounty)","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling/RogueSubroutinePixel.cs","193","0"
"1ea7ef2","1ea7ef20d9e1165956f54f0afab2ba61b5488dd9","2026-05-16","satyrogle","Sprint 3: Rogue Subroutine (hidden hub bounty)","Scripts/Persistence","Assets/_Project/Scripts/Persistence/MetaProgressData.cs","5","0"
"ae5659a","ae5659af23cde887c7a778bed62e0598ca4c01b1","2026-05-16","satyrogle","Sprint 3: Steganography paradox recipes (data smuggling)","Scripts/Editor","Assets/_Project/Scripts/Editor/HighImpactInjector.cs","10","0"
"ae5659a","ae5659af23cde887c7a778bed62e0598ca4c01b1","2026-05-16","satyrogle","Sprint 3: Steganography paradox recipes (data smuggling)","Scripts/Meta","Assets/_Project/Scripts/Meta/DataSmuggling/ExeFragmentDrop.cs","122","0"
